evnum,x,y,z,pad_id,mom
1,34.4368,-8.66291,-98.2076,336,470.447
1,34.5747,-9.12695,-91.2346,469,470.436
1,34.5767,-9.13491,-91.1158,469,470.436
1,34.7328,-9.86489,-80.2171,625,470.419
1,34.7339,-9.87252,-80.1034,625,470.419
1,34.8096,-10.5765,-69.5844,805,470.399
1,34.8096,-10.5839,-69.4737,805,470.399
1,34.8115,-11.2676,-59.1923,1009,470.391
1,34.8111,-11.2748,-59.0839,1009,470.39
1,34.7456,-11.9464,-48.9638,1237,470.368
1,34.7443,-11.9535,-48.8567,1237,470.368
1,34.5831,-12.7403,-36.9988,1460,470.149
1,34.5811,-12.7473,-36.8929,1460,470.149
1,34.2919,-13.6554,-23.3158,1673,470.124
1,34.2888,-13.6623,-23.2109,1673,470.124
1,33.885,-14.5565,-9.74064,1896,470.103
1,33.8815,-14.5634,-9.63657,1896,470.103
1,33.374,-15.4518,3.75294,2118,470.092
1,33.3697,-15.4586,3.85648,2118,470.092
1,32.7494,-16.337,17.1865,2331,470.08
1,32.7441,-16.3439,17.2897,2331,470.08
1,32.0073,-17.2294,30.5736,2544,470.067
1,32.0011,-17.2364,30.6764,2544,470.067
1,31.1531,-18.1373,43.9217,2761,470.048
1,31.1453,-18.1443,44.0244,2761,470.048
1,30.1842,-19.045,57.2378,2982,470.038
1,30.176,-19.052,57.3401,2982,470.038
1,29.1015,-19.9565,70.526,3210,470.014
1,29.0918,-19.9635,70.6282,3210,470.013
1,27.9037,-20.8682,83.7898,3444,470.002
1,27.8936,-20.8752,83.8918,3444,470.002
1,26.5986,-21.7798,97.0308,3685,469.984
1,26.5881,-21.7868,97.1325,3685,469.984
1,25.1848,-22.6944,110.251,3922,469.97
1,25.1732,-22.7015,110.352,3922,469.97
1,23.6609,-23.6139,123.452,4147,469.954
1,23.6483,-23.6209,123.553,4147,469.954
1,22.0249,-24.5323,136.634,4360,469.942
1,22.0118,-24.5394,136.735,4360,469.942
1,20.278,-25.4455,149.799,4568,469.923
1,20.2639,-25.4525,149.9,4568,469.923
1,18.4258,-26.3586,162.946,4771,469.906
1,18.4106,-26.3656,163.047,4771,469.905
1,16.46,-27.2726,176.076,4971,469.894
1,16.4444,-27.2796,176.177,4971,469.894
1,14.3854,-28.1867,189.189,5169,469.867
1,14.369,-28.1937,189.289,5169,469.867
1,12.1969,-29.097,202.285,5355,469.852
1,12.1788,-29.1041,202.385,5355,469.852
1,9.89872,-30.0061,215.363,5508,469.834
1,9.88019,-30.0132,215.464,5508,469.834
1,7.49052,-30.9246,228.424,5626,469.816
1,7.47159,-30.9317,228.525,5626,469.812
1,4.97553,-31.85,241.468,5724,469.798
1,4.95568,-31.8571,241.568,5724,469.798
2,21.892,-10.5722,-90.9136,331,352.279
2,23.2076,-11.6229,-85.2378,464,352.266
2,23.2301,-11.6411,-85.1391,464,352.266
2,25.3135,-13.3592,-75.8636,621,352.239
2,25.3352,-13.3776,-75.765,621,352.239
2,27.335,-15.1163,-66.4862,802,352.071
2,27.3554,-15.1349,-66.3873,802,352.071
2,29.2814,-16.8804,-57.1038,1007,352.046
2,29.3014,-16.899,-57.0049,1007,352.046
2,31.1491,-18.6401,-47.712,1236,351.994
2,31.1679,-18.6587,-47.613,1236,351.994
2,33.2589,-20.7327,-36.5759,1459,351.904
2,33.2768,-20.7511,-36.4767,1459,351.903
2,35.57,-23.1218,-23.6894,1673,351.87
2,35.587,-23.1401,-23.5901,1673,351.869
2,37.7322,-25.5058,-10.7785,1898,351.774
2,37.7482,-25.5242,-10.6791,1898,351.774
2,39.7456,-27.896,2.15694,2121,351.747
2,39.7598,-27.9144,2.25673,2121,351.746
2,41.6118,-30.2968,15.1161,2334,351.703
2,41.6254,-30.3152,15.2159,2334,351.703
2,43.3385,-32.683,28.0965,2548,351.671
2,43.3512,-32.7015,28.1965,2548,351.671
2,44.9294,-35.0702,41.0967,2766,351.47
2,44.9408,-35.0885,41.1969,2765,351.47
2,46.3744,-37.4475,54.1184,2988,351.331
2,46.3847,-37.4658,54.2187,2988,351.331
2,47.6763,-39.8299,67.16,3217,351.295
2,47.6848,-39.8483,67.2606,3217,351.295
2,48.8302,-42.2245,80.2216,3452,351.267
2,48.8382,-42.243,80.3222,3452,351.267
2,49.8514,-44.6236,93.2987,3693,351.22
2,49.8583,-44.6421,93.3995,3693,351.22
2,50.7355,-47.0214,106.392,3932,351.174
2,50.7415,-47.0399,106.492,3932,351.174
2,51.4711,-49.4585,119.501,4157,351.132
2,51.476,-49.4773,119.602,4157,351.132
2,52.0415,-51.8966,132.63,4371,351.105
2,52.0452,-51.9154,132.731,4371,351.105
2,52.4548,-54.3381,145.775,4579,351.08
2,52.457,-54.357,145.876,4579,351.08
2,52.7188,-56.7968,158.932,4783,351.027
2,52.7201,-56.8157,159.033,4783,351.027
2,52.8295,-59.2563,172.102,4984,350.977
2,52.8292,-59.2752,172.203,4984,350.977
2,52.7933,-61.7149,185.282,5182,350.95
2,52.7923,-61.7338,185.384,5182,350.95
2,52.5983,-64.1687,198.473,5369,350.904
2,52.5954,-64.1876,198.574,5369,350.904
2,52.2427,-66.6289,211.673,5523,350.885
2,52.2392,-66.6477,211.775,5523,350.885
2,51.7468,-69.0742,224.878,5642,350.838
2,51.7416,-69.093,224.98,5642,350.838
2,51.0978,-71.5168,238.09,5741,350.807
2,51.0921,-71.5356,238.191,5741,350.807
2,24.9579,-4.24389,-75.624,621,0.136773
2,24.9504,-4.21617,-75.7279,621,0.136615
2,24.4772,-4.16062,-75.5542,621,0.13257
2,24.5994,-4.16167,-75.4923,621,0.132314
2,24.9294,-4.1823,-75.6134,621,0.130985
2,24.9686,-4.20249,-75.7346,621,0.130083
2,24.6336,-3.81242,-75.6112,621,0.124086
2,24.6324,-3.75968,-75.5043,621,0.121697
3,7.44858,8.75378,-86.9931,326,478.45
3,7.2437,9.42946,-81.1729,458,478.444
3,7.23898,9.44124,-81.0717,458,478.444
3,6.86,10.5455,-71.5787,614,478.434
3,6.85502,10.5572,-71.4778,614,478.434
3,6.42373,11.6579,-62.0043,794,478.421
3,6.41848,11.6696,-61.9036,794,478.421
3,5.93356,12.7665,-52.4442,998,478.411
3,5.928,12.7782,-52.3436,998,478.411
3,5.38534,13.8703,-42.8948,1226,478.397
3,5.37847,13.8819,-42.7942,1226,478.397
3,4.66308,15.1799,-31.5976,1449,478.387
3,4.65585,15.1916,-31.4972,1449,478.387
3,3.72879,16.6959,-18.5559,1662,478.376
3,3.72119,16.7076,-18.4556,1662,478.376
3,2.69431,18.2095,-5.5264,1885,478.361
3,2.68546,18.2211,-5.42621,1885,478.361
3,1.55773,19.7145,7.49194,2107,478.352
3,1.54852,19.7261,7.59204,2107,478.352
3,0.321779,21.2201,20.4997,2320,478.337
3,0.311208,21.2317,20.5997,2320,478.337
3,-1.01854,22.7204,33.4971,2532,478.321
3,-1.02949,22.7319,33.597,2532,478.321
3,-2.46168,24.2216,46.484,2749,478.297
3,-2.47321,24.2332,46.5839,2749,478.297
3,-4.00497,25.7264,59.4604,2970,478.279
3,-4.01784,25.738,59.5602,2970,478.278
3,-5.64905,27.2315,72.4259,3198,478.263
3,-5.6623,27.2431,72.5256,3197,478.263
3,-7.39396,28.7353,85.3803,3432,478.239
3,-7.40801,28.7469,85.4799,3432,478.239
3,-9.24225,30.2361,98.3231,3672,478.159
3,-9.25685,30.2476,98.4226,3672,478.159
3,-11.1937,31.732,111.254,3910,478.134
3,-11.209,31.7434,111.353,3910,478.134
3,-13.2335,33.2151,124.172,4134,478.123
3,-13.2496,33.2265,124.272,4134,478.123
3,-15.3755,34.6978,137.078,4347,478.109
3,-15.3924,34.7093,137.178,4347,478.109
3,-17.6262,36.1895,149.97,4554,478.098
3,-17.6449,36.201,150.069,4554,478.098
3,-19.9826,37.6843,162.848,4757,478.09
3,-20.0017,37.6958,162.947,4757,478.09
3,-22.4475,39.1824,175.71,4957,478.079
3,-22.4671,39.1939,175.809,4957,478.078
3,-25.0247,40.6826,188.557,5155,478.048
3,-25.0449,40.6941,188.656,5155,478.048
3,-27.7088,42.1845,201.387,5341,478.041
3,-27.7298,42.1961,201.486,5341,478.041
3,-30.4995,43.6917,214.2,5494,478.032
3,-30.5214,43.7033,214.299,5494,478.032
3,-33.3965,45.2006,226.996,5612,478.023
3,-33.4198,45.2122,227.094,5612,478.023
3,-36.3967,46.7093,239.773,5709,478.016
3,-36.4205,46.7209,239.872,5709,478.016
4,-27.4443,-4.19367,-93.6132,314,478.569
4,-27.4755,-4.92521,-87.1416,445,478.548
4,-27.4763,-4.93774,-87.0306,445,478.548
4,-27.5782,-6.09573,-76.7617,601,478.534
4,-27.5798,-6.10793,-76.6541,601,478.534
4,-27.7429,-7.24158,-66.6331,781,478.51
4,-27.7451,-7.2535,-66.5276,781,478.51
4,-27.9678,-8.36742,-56.6671,985,478.473
4,-27.9706,-8.37922,-56.5629,985,478.473
4,-28.255,-9.48593,-46.8142,1213,478.408
4,-28.2584,-9.49764,-46.7109,1213,478.408
4,-28.6698,-10.794,-35.2489,1438,478.35
4,-28.6743,-10.8057,-35.1466,1438,478.35
4,-29.2138,-12.3095,-21.976,1650,478.339
4,-29.2186,-12.3212,-21.8743,1650,478.339
4,-29.867,-13.8286,-8.78296,1874,478.314
4,-29.8732,-13.8403,-8.6819,1874,478.314
4,-30.6321,-15.3427,4.34966,2096,478.297
4,-30.6388,-15.3543,4.45041,2096,478.297
4,-31.5085,-16.8515,17.4352,2308,478.28
4,-31.5158,-16.8631,17.5357,2308,478.277
4,-32.491,-18.3619,30.4837,2521,478.264
4,-32.4997,-18.3735,30.5838,2521,478.263
4,-33.5832,-19.8774,43.5005,2738,478.25
4,-33.5923,-19.8891,43.6004,2738,478.25
4,-34.7745,-21.3962,56.4918,2959,478.231
4,-34.7846,-21.4079,56.5916,2959,478.231
4,-36.0701,-22.9219,69.4599,3187,478.222
4,-36.0805,-22.9337,69.5595,3187,478.221
4,-37.4713,-24.4477,82.4066,3421,478.199
4,-37.4826,-24.4594,82.5061,3421,478.199
4,-38.9826,-25.9687,95.333,3662,478.159
4,-38.9946,-25.9803,95.4323,3662,478.159
4,-40.5962,-27.4811,108.241,3899,478.15
4,-40.61,-27.4928,108.34,3899,478.15
4,-42.3228,-28.9971,121.131,4123,478.134
4,-42.337,-29.0088,121.23,4123,478.134
4,-44.15,-30.5134,134.004,4337,478.125
4,-44.1645,-30.5251,134.103,4337,478.124
4,-46.079,-32.0248,146.86,4544,478.074
4,-46.0943,-32.0365,146.959,4544,478.073
4,-48.1113,-33.536,159.7,4747,478.058
4,-48.1279,-33.5476,159.799,4747,478.057
4,-50.2434,-35.0452,172.525,4947,478.035
4,-50.2604,-35.0568,172.623,4947,478.035
4,-52.481,-36.5512,185.332,5145,478.023
4,-52.4986,-36.5628,185.431,5145,478.023
4,-54.819,-38.0569,198.123,5331,478.005
4,-54.8379,-38.0684,198.222,5331,478.005
4,-57.2594,-39.5584,210.898,5484,477.994
